動画ID,動画タイトル,中分類・領域,評価フォームURL,Record Count
PROC-033,バビンスキー反射（病的反射）,神経診察,▶ 評価する,1
PROC-034,小脳機能検査（指鼻・膝踵試験）,神経診察,▶ 評価する,1
PROC-035,髄膜刺激徴候（項部硬直・ケルニッヒ）,神経診察,▶ 評価する,1
PROC-036,感覚検査（痛覚・触覚・振動覚）,神経診察,▶ 評価する,1
PROC-037,脊柱の診察（前屈・後屈）,整形外科,▶ 評価する,1
PROC-038,下肢挙上試験（SLRテスト）,整形外科,▶ 評価する,1
PROC-039,パトリックテスト（股関節痛）,整形外科,▶ 評価する,1
PROC-040,皮膚のツルゴール（脱水評価）,全身診察,▶ 評価する,1
PROC-041,眼底検査（直像鏡）,眼科診察,▶ 評価する,1
PROC-042,簡易聴力検査（指擦法）,耳鼻科診察,▶ 評価する,1
PROC-043,鼻鏡検査（鼻腔内視診）,耳鼻科診察,▶ 評価する,1
PROC-044,関節の診察（発赤・腫脹・熱感）,整形外科,▶ 評価する,1
PROC-045,橈骨・尺骨神経の診察,神経診察,▶ 評価する,1
PROC-046,乳房の視診・触診,乳腺診察,▶ 評価する,1
PROC-047,直腸診（前立腺・腫瘤）,外科・泌尿器,▶ 評価する,1
PROC-048,内診・双手診（子宮・卵巣）,産婦人科,▶ 評価する,1
PROC-049,皮膚の視診（発疹・色調）,皮膚科,▶ 評価する,1
PROC-050,毛細血管再充満時間（CRT）,救急,▶ 評価する,1
PROC-051,点滴静脈内注射の準備,基本手技,▶ 評価する,1
PROC-052,翼状針を用いた採血,基本手技,▶ 評価する,1
PROC-053,皮内注射・皮下注射の手技,基本手技,▶ 評価する,1
PROC-054,筋肉内注射の手技,基本手技,▶ 評価する,1
PROC-055,静脈路確保（末梢留置針）,基本手技,▶ 評価する,1
PROC-056,手指衛生（ラビング法・スクラブ法）,感染対策,▶ 評価する,1
PROC-057,滅菌手袋の装着（オープン・クローズ法）,感染対策,▶ 評価する,1
PROC-058,滅菌ガウンの装着,感染対策,▶ 評価する,1
PROC-059,簡易心電図モニターの装着,救急・病棟,▶ 評価する,1
PROC-060,経皮的酸素飽和度（SpO2）の測定,バイタル,▶ 評価する,1
PROC-061,心臓の打診（心濁音界）,循環器診察,▶ 評価する,1
PROC-062,頚静脈圧（JVP）の測定,循環器診察,▶ 評価する,1
PROC-063,頚部血管の聴診（頚部雑音）,循環器診察,▶ 評価する,1
PROC-064,心尖拍動の触診,循環器診察,▶ 評価する,1
PROC-065,心雑音の動的聴診（体位変化）,循環器診察,▶ 評価する,1
PROC-066,胸部脊柱の叩打痛（叩診）,呼吸器診察,▶ 評価する,1
PROC-067,肺尖部の打診,呼吸器診察,▶ 評価する,1
PROC-068,腹部の血管聴診（腹部大動脈）,腹部診察,▶ 評価する,1
PROC-069,脾濁音界の打診,腹部診察,▶ 評価する,1
PROC-070,肝濁音界の境界測定,腹部診察,▶ 評価する,1
PROC-071,反跳痛（ブルンベルグ徴候）の確認,腹部診察,▶ 評価する,1
PROC-072,ローゼンシュタイン徴候（虫垂炎）,腹部診察,▶ 評価する,1
PROC-073,マーフィー徴候（胆嚢炎）,腹部診察,▶ 評価する,1
PROC-074,肋骨脊柱角（CVA）の叩打痛,泌尿器診察,▶ 評価する,1
PROC-075,鼠径管の触診（ヘルニア）,外科診察,▶ 評価する,1
PROC-076,陰嚢の透光試験（水腫）,泌尿器診察,▶ 評価する,1
PROC-077,膝蓋跳動の確認（関節液貯留）,整形外科診察,▶ 評価する,1
PROC-078,膝関節の徒手検査（ドロワー試験）,整形外科診察,▶ 評価する,1
PROC-079,アキレス腱の断裂試験（トンプソン）,整形外科診察,▶ 評価する,1
PROC-080,ホフマン反射・トレムナー反射,神経診察,▶ 評価する,1
PROC-081,ロンベルグ試験（平衡機能）,神経診察,▶ 評価する,1
PROC-082,共同偏視・眼振の診察,神経診察,▶ 評価する,1
PROC-083,顔面神経の診察（表情筋）,神経診察,▶ 評価する,1
PROC-084,副神経の診察（僧帽筋・胸鎖乳突筋）,神経診察,▶ 評価する,1
PROC-085,舌下神経の診察（舌の偏位）,神経診察,▶ 評価する,1
PROC-086,軟口蓋・咽頭反射の診察,神経診察,▶ 評価する,1
PROC-087,二点識別覚の検査,神経診察,▶ 評価する,1
PROC-088,位置覚・運動覚の検査,神経診察,▶ 評価する,1
PROC-089,振動覚の検査（音叉）,神経診察,▶ 評価する,1
PROC-090,ステレオグノーシス（立体認知）,神経診察,▶ 評価する,1
PROC-091,救急：気道確保（頭部後屈顎先拳上）,救急処置,▶ 評価する,1
PROC-092,救急：下顎拳上法,救急処置,▶ 評価する,1
PROC-093,救急：口腔内吸引の手技,救急処置,▶ 評価する,1
PROC-094,救急：咽頭エアウェイの挿入,救急処置,▶ 評価する,1
PROC-095,救急：止血法（直接圧迫止血）,救急処置,▶ 評価する,1
PROC-096,救急：頸椎カラーの装着,救急処置,▶ 評価する,1
PROC-097,救急：バックボードへの固定,救急処置,▶ 評価する,1
PROC-098,救急：一次救命処置（BLS）の全行程,救急処置,▶ 評価する,1
DISE-390,自閉スペクトラム症（ASD）の社会的特性,小児・精神,▶ 評価する,1
PROC-100,基本手技：便潜血検査の手順,基本手技,▶ 評価する,1
PROC-101,検査：心電図検査の電極装着（12誘導）,基本手技,▶ 評価する,1
PROC-102,検査：簡易視力検査（スネレン）,眼科診察,▶ 評価する,1
PROC-103,検査：簡易視野検査（対面法）,眼科診察,▶ 評価する,1
PROC-104,検査：色覚検査（石原表）,眼科診察,▶ 評価する,1
PROC-105,外科：手術手洗いの全工程,手術手技,▶ 評価する,1
PROC-106,外科：メスの持ち方・操作,手術手技,▶ 評価する,1
PROC-107,外科：持針器の操作と糸結び,手術手技,▶ 評価する,1
PROC-108,外科：鑷子（ピンセット）の操作,手術手技,▶ 評価する,1
PROC-109,外科：止血鉗子（コッヘル・ペアン）の操作,手術手技,▶ 評価する,1
PROC-110,外科：ドレーンの管理（排液の観察）,術後管理,▶ 評価する,1
PROC-111,処置：中心静脈カテーテル挿入の介助,基本手技,▶ 評価する,1
PROC-112,処置：胸腔ドレナージの介助,呼吸器処置,▶ 評価する,1
PROC-113,処置：腹腔ドレナージの介助,消化器処置,▶ 評価する,1
PROC-114,処置：腰椎穿刺の体位保持と介助,神経診察,▶ 評価する,1
PROC-115,処置：創部の消毒（無菌的交換）,外科処置,▶ 評価する,1
PROC-116,処置：包帯法（螺旋帯・環転帯）,外科処置,▶ 評価する,1
PROC-117,処置：副子の装着（シーネ固定）,整形外科処置,▶ 評価する,1
PROC-118,処置：浣腸の手技,基本手技,▶ 評価する,1
PROC-119,処置：摘便の手技,基本手技,▶ 評価する,1
PROC-120,検査：鼻咽頭スワブの採取,基本手技,▶ 評価する,1
PROC-121,婦人科：膣鏡（クスコ）の挿入,産婦人科診察,▶ 評価する,1
PROC-122,婦人科：子宮頸部細胞診の採取,産婦人科診察,▶ 評価する,1
PROC-123,耳鼻科：ネブライザー吸入の介助,耳鼻科処置,null,1
PROC-124,小児科：乳幼児の身体計測（身長・頭囲）,小児科診察,null,1
PROC-125,小児科：乳幼児の股関節脱臼検査,小児科診察,null,1
PROC-126,精神科：精神状態短時間検査（MMSE）,精神科診察,null,1
PROC-127,老年期：認知症のスクリーニング（HDS-R）,老年期診察,null,1
PROC-128,リハ：ADL評価（Barthel Index）,リハビリテーション,null,1
PROC-129,救急：心マッサージ（胸骨圧迫）の深さと速さ,救急処置,null,1
PROC-130,救急：除細動器の安全な操作（充電・放電）,救急処置,null,1
PROC-131,診察：リンパ節の視診・触診（全身）,全身診察,null,1
PROC-132,診察：皮膚の脱水サイン（ハンカチ徴候）,全身診察,null,1
PROC-133,診察：手掌紅斑と蜘蛛状血管腫,腹部診察,null,1
PROC-134,診察：腹部大動脈の拍動触診,腹部診察,null,1
PROC-135,診察：腹壁静脈の怒張（メデューサの頭）,腹部診察,null,1
PROC-136,診察：シンスプリーニング試験（脾腫）,腹部診察,null,1
PROC-137,診察：肝臓の打診（肝濁音界の消失）,腹部診察,null,1
PROC-138,診察：膝蓋腱反射の減弱（片側）,神経診察,null,1
PROC-139,診察：バビンスキー反射の誘発方法,神経診察,null,1
PROC-140,診察：頚部硬直（髄膜刺激症状）の確認法,神経診察,null,1
PROC-141,患者の移送（車椅子・ストレッチャー）,看護・介助,null,1
PROC-142,創傷の洗浄と被覆,外科処置,null,1
PROC-143,局所麻酔の手技（浸潤麻酔）,外科処置,null,1
PROC-144,単結節縫合の手技,外科処置,null,1
PROC-145,胃管（マーフィー管）の挿入,基本手技,null,1
PROC-146,導尿の手技（ネラトン・留置）,泌尿器処置,null,1
PROC-147,酸素吸入の準備（鼻カニュラ・マスク）,呼吸器処置,null,1
PROC-148,バッグバルブマスク（BVM）による換気,救急処置,null,1
PROC-149,AEDの使用と電気ショック,救急処置,null,1
PROC-150,気管挿管の介助と確認,救急処置,null,1
PROC-151,小児の蘇生現場,救急・小児科,null,1
PROC-152,小児の口腔内診察風景,小児科,null,1
PROC-156,輸血の実施と安全確認,血液・安全,null,1
PROC-157,血液透析の導入とシャント診察,腎臓内科,null,1
PROC-158,緊張性気胸の緊急脱気,救急・呼吸器,null,1
PROC-159,術後イレウス（腸閉塞）の評価,外科・病棟,null,1
PROC-161,動物咬傷と破傷風予防,救急・外来,null,1
PROC-162,腹部大動脈瘤のスクリーニング,循環器・血管,null,1
PROC-163,脳死判定プロトコル,集中治療・倫理,null,1
PROC-164,気道異物除去（ハイムリック法）,救急,null,1
PROC-168,災害現場でのトリアージ（START法）,災害医療,null,1
PROC-171,経カテーテル大動脈弁留置術（TAVI）の見学,循環器外科,null,1
PROC-172,高度な個人防護具（PPE）の着脱,感染管理,null,1
PROC-173,未熟児網膜症の診察,小児科・眼科,null,1
PROC-174,腹膜透析（CAPD）の管理と指導,腎臓内科,null,1
PROC-198,重症不整脈：心室細動（除細動）,救急,null,1
PROC-208,心タンポナーデ：緊急心嚢穿刺の準備,循環器・救急,null,1
PROC-209,高度感染症対策：陰圧テント内での診察,感染症・安全,null,1
PROC-211,多剤耐性菌（MDRO）対策と接触予防策,感染管理,null,1
PROC-214,ロボット支援下手術（ダヴィンチ）の見学,外科教育,null,1
PROC-409,難治性腹水に対する腹腔穿刺,消化器,null,1
PROC-411,脳卒中後の回復期リハビリテーション,リハビリテーション,null,1
PROC-425,内科・在宅での簡易エコー（POCUS）の活用,総合診療,null,1
PROC-431,耳鼻科・小児の異物（鼻腔・外耳道異物）,耳鼻咽喉科,null,1
PROC-438,重症筋無力症の簡易検査（アイスパックテスト）,脳神経内科,null,1
PROC-450,収縮期雑音の鑑別（AS vs MR）,循環器,null,1
PROC-453,小児の腸重積：触診のピットフォール,小児外科,null,1
PROC-462,緊張型頭痛 vs 片頭痛の診察,脳神経内科,null,1
PROC-469,起立性低血圧の評価,老年期・総合診療,null,1
PROC-471,肝硬変の皮膚所見（蜘蛛状血管腫）,消化器,null,1
PROC-476,心臓聴診の極意：III音・IV音のキャッチ,循環器,null,1
PROC-477,肝臓触診の極意：プロの「柔らかな手」,消化器,null,1
PROC-483,神経診察：プロの視診（僅かな左右差）,脳神経内科,null,1
PROC-484,小児の痛みを伴う処置：プレパレーション,小児科,null,1
PROC-513,新生児のApgarスコア評価,小児科,null,1
PROC-514,胎児機能不全のCTG読影,産婦人科,null,1
PROC-518,ニコルスキー現象の確認,皮膚科,null,1
PROC-519,大動脈弁狭窄症とTAVI,循環器,null,1
PROC-520,胃静脈瘤とBRTO,消化器・放射線,null,1
SYMP-181,発熱の医療面接,全身,null,1
SYMP-182,全身倦怠感の医療面接,全身,null,1
SYMP-183,食欲不振の医療面接,消化器,null,1
SYMP-184,体重減少・増加の医療面接,代謝,null,1
SYMP-185,浮腫の医療面接,循環器・腎臓,null,1
SYMP-186,発疹の医療面接,皮膚,null,1
SYMP-187,黄疸の医療面接,消化器,null,1
SYMP-188,腹水（腹部膨隆）の医療面接,消化器,null,1
SYMP-189,貧血・出血傾向の医療面接,血液,null,1
SYMP-190,意識障害の医療面接（家族から）,救急・神経,null,1
SYMP-191,痙攣の医療面接,神経,null,1
SYMP-192,めまいの医療面接,耳鼻科・神経,null,1
SYMP-193,頭痛の医療面接,神経,null,1
SYMP-194,視力障害・眼痛の医療面接,眼科,null,1
SYMP-195,聴覚障害の医療面接,耳鼻科,null,1
SYMP-196,鼻出血の医療面接,耳鼻科,null,1
SYMP-197,動悸の医療面接,循環器,null,1
SYMP-198,呼吸困難の医療面接,呼吸器・循環器,null,1
SYMP-199,咳嗽・喀痰の医療面接,呼吸器,null,1
SYMP-200,喀血・血痰の医療面接,呼吸器,null,1
SYMP-201,胸痛の医療面接,循環器・呼吸器,null,1
SYMP-202,腹痛の医療面接,消化器,null,1
SYMP-203,悪心・嘔吐の医療面接,消化器,null,1
SYMP-204,吐血・下血の医療面接,消化器,null,1
SYMP-205,便秘・下痢の医療面接,消化器,null,1
SYMP-206,黄疸の医療面接（再掲）,消化器,null,1
SYMP-207,腰背部痛の医療面接,整形外科・泌尿器,null,1
SYMP-208,関節痛・関節腫脹の医療面接,膠原病・整形,null,1
SYMP-209,筋力低下の医療面接,神経,null,1
SYMP-210,歩行障害の医療面接,神経・整形,null,1
SYMP-211,感覚障害の医療面接,神経,null,1
SYMP-212,排尿障害（尿閉・頻尿）の医療面接,泌尿器,null,1
SYMP-213,血尿・蛋白尿の医療面接,泌尿器・腎臓,null,1
SYMP-214,月経異常の医療面接,産婦人科,null,1
SYMP-215,不安・不眠の医療面接,精神科,null,1
SYMP-216,抑うつの医療面接,精神科,null,1
SYMP-217,認知機能障害・もの忘れの医療面接,精神・神経,null,1
PROC-464,間質性肺疾患（ILD）のベルクロ・ラッセル音,呼吸器,null,1
DISE-389,摂食障害（拒食症）の身体合併症,精神科,▶ 評価する,1
DISE-261,急性副鼻腔炎の圧痛と治療,耳鼻科,▶ 評価する,1
DISE-178,急性閉塞性化膿性胆管炎（AOSC）,消化器,▶ 評価する,1
COMP-478,診断がつかない時の「臨床的沈黙」,プロフェッショナリズム,▶ 評価する,1
COMP-414,HIVの予防とスクリーニング,公衆衛生,▶ 評価する,1
COMP-219,多職種合同退院支援カンファレンス,地域医療,▶ 評価する,1
COMP-215,家族同席下での心肺蘇生,救急・倫理,▶ 評価する,1
COMP-194,ゲノム医療と遺伝カウンセリング,次世代医療,▶ 評価する,1
COMP-191,バッドニュースの告知,プロフェッショナリズム,▶ 評価する,1
